id,claim,label,evidence,predicted_label,latency_seconds,decomposition_traces
75397,Nikolaj Coster-Waldau worked with the Fox Broadcasting Company.,SUPPORTS,"[[[92206, 104971, 'Nikolaj_Coster-Waldau', 7], [92206, 104971, 'Fox_Broadcasting_Company', 0]]]",SUPPORTS,25.342795610427856,"[{""sub"": ""Nikolaj Coster-Waldau worked with the Fox Broadcasting Company."", ""label"": ""SUPPORTS"", ""query"": ""Nikolaj Coster-Waldau Fox Broadcasting Company""}]"
150448,Roman Atwood is a content creator.,SUPPORTS,"[[[174271, 187498, 'Roman_Atwood', 1]], [[174271, 187499, 'Roman_Atwood', 3]]]",SUPPORTS,18.82535696029663,"[{""sub"": ""Roman Atwood is a content creator."", ""label"": ""SUPPORTS"", ""query"": ""Roman Atwood content creator""}]"
214861,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.",SUPPORTS,"[[[255136, 254645, 'History_of_art', 2]]]",SUPPORTS,22.114322900772095,"[{""sub"": ""History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts."", ""label"": ""SUPPORTS"", ""query"": ""Ive kept the query concise by only including the keywords from the fact)""}]"
156709,Adrienne Bailon is an accountant.,REFUTES,"[[[180804, 193183, 'Adrienne_Bailon', 0]]]",REFUTES,18.52702784538269,"[{""sub"": ""Adrienne Bailon is an accountant."", ""label"": ""REFUTES"", ""query"": ""Adrienne Bailon Accountant.""}]"
83235,System of a Down briefly disbanded in limbo.,NOT ENOUGH INFO,"[[[100277, None, None, None]]]",NOT ENOUGH INFO,24.02201008796692,"[{""sub"": ""System of a Down briefly disbanded in limbo."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""System of a Down disbandment""}]"
129629,Homeland is an American television spy thriller based on the Israeli television series Prisoners of War.,SUPPORTS,"[[[151831, 166598, 'Homeland_-LRB-TV_series-RRB-', 0], [151831, 166598, 'Prisoners_of_War_-LRB-TV_series-RRB-', 0]]]",SUPPORTS,21.996229648590088,"[{""sub"": ""Homeland is an American television spy thriller based on the Israeli television series Prisoners of War."", ""label"": ""SUPPORTS"", ""query"": ""Homeland TV series""}]"
149579,Beautiful reached number two on the Billboard Hot 100 in 2003.,NOT ENOUGH INFO,"[[[173384, None, None, None]]]",REFUTES,19.2209632396698,"[{""sub"": ""Beautiful reached number two on the Billboard Hot 100 in 2003."", ""label"": ""REFUTES"", ""query"": ""Beautiful Billboard Hot 100 2003""}]"
229289,Neal Schon was named in 1954.,NOT ENOUGH INFO,"[[[273626, None, None, None]]]",SUPPORTS,19.101630210876465,"[{""sub"": ""Neal Schon was named in 1954."", ""label"": ""SUPPORTS"", ""query"": ""Neal Schon birth year""}]"
33078,The Boston Celtics play their home games at TD Garden.,SUPPORTS,"[[[49158, 58489, 'Boston_Celtics', 3]], [[49159, 58490, 'Boston_Celtics', 3]]]",SUPPORTS,24.594289302825928,"[{""sub"": ""The Boston Celtics play their home games at TD Garden."", ""label"": ""SUPPORTS"", ""query"": ""Boston Celtics TD Garden""}]"
6744,The Ten Commandments is an epic film.,SUPPORTS,"[[[23513, 28977, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 0]], [[23513, 28978, 'The_Ten_Commandments_-LRB-1956_film-RRB-', 20]]]",SUPPORTS,18.914045572280884,"[{""sub"": ""The Ten Commandments is an epic film."", ""label"": ""SUPPORTS"", ""query"": ""The Ten Commandments epic film""}]"
226034,Tetris has sold millions of physical copies.,SUPPORTS,"[[[269479, 265800, 'Tetris', 18]]]",NOT ENOUGH INFO,20.554255485534668,"[{""sub"": ""Tetris has sold millions of physical copies."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""Tetris physical sales""}]"
40190,Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,SUPPORTS,"[[[56492, 66697, 'Cyndi_Lauper', 2]]]",SUPPORTS,21.725317001342773,"[{""sub"": ""Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985."", ""label"": ""SUPPORTS"", ""query"": ""Cyndi Lauper 27th Grammy Awards Best New Artist 1985""}]"
76253,There is a movie called The Hunger Games.,SUPPORTS,"[[[93100, 106004, 'The_Hunger_Games_-LRB-film-RRB-', 0]], [[93100, 106005, 'The_Hunger_Games_-LRB-film-RRB-', 1]], [[93100, 106006, 'The_Hunger_Games_-LRB-film-RRB-', 2]], [[93100, 106007, 'The_Hunger_Games_-LRB-film-RRB-', 16]]]",SUPPORTS,21.370128870010376,"[{""sub"": ""There is a movie called The Hunger Games."", ""label"": ""SUPPORTS"", ""query"": ""The Hunger Games movie""}]"
188923,Ryan Gosling has been to a country in Africa.,SUPPORTS,"[[[220565, 226318, 'Ryan_Gosling', 17], [220565, 226318, 'Chad', 0]]]",REFUTES,16.85387921333313,"[{""sub"": ""Ryan Gosling has been to a country in Africa."", ""label"": ""REFUTES"", ""query"": ""Ryan Gosling Africa visit""}]"
138503,"Stranger Things is set in Bloomington, Indiana.",REFUTES,"[[[161295, 175782, 'Stranger_Things', 5]]]",NOT ENOUGH INFO,23.67799425125122,"[{""sub"": ""Stranger Things is set in Bloomington, Indiana."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""Bloomington Indiana setting Stranger Things""}]"
129983,Ryan Seacrest is a person.,SUPPORTS,"[[[152194, 166969, 'Ryan_Seacrest', 0]], [[152194, 166970, 'Ryan_Seacrest', 1]], [[152194, 166971, 'Ryan_Seacrest', 2]], [[152194, 166972, 'Ryan_Seacrest', 5]]]",SUPPORTS,18.948758363723755,"[{""sub"": ""Ryan Seacrest is a person."", ""label"": ""SUPPORTS"", ""query"": ""Ryan Seacrest person""}]"
73170,Puerto Rico is not an unincorporated territory of the United States.,REFUTES,"[[[89957, 102650, 'Puerto_Rico', 0]]]",REFUTES,19.791117668151855,"[{""sub"": ""Puerto Rico is not an unincorporated territory of the United States."", ""label"": ""REFUTES"", ""query"": ""Puerto Rico status United States""}]"
179616,Michael Giacchino composed the score for Doctor Strange.,SUPPORTS,"[[[208457, 216486, 'Michael_Giacchino', 1]]]",REFUTES,21.124128103256226,"[{""sub"": ""Michael Giacchino composed the score for Doctor Strange."", ""label"": ""REFUTES"", ""query"": ""Michael Giacchino Doctor Strange score composer.""}]"
207456,Stranger than Fiction is a film.,SUPPORTS,"[[[245342, 246172, 'Stranger_than_Fiction_-LRB-2006_film-RRB-', 0]]]",REFUTES,20.406571626663208,"[{""sub"": ""Stranger than Fiction is a film."", ""label"": ""REFUTES"", ""query"": ""Stranger than Fiction film""}]"
3,Chris Hemsworth appeared in A Perfect Getaway.,SUPPORTS,"[[[15732, 19585, 'Chris_Hemsworth', 2]]]",SUPPORTS,20.263077974319458,"[{""sub"": ""Chris Hemsworth appeared in A Perfect Getaway."", ""label"": ""SUPPORTS"", ""query"": ""Chris Hemsworth A Perfect Getaway""}]"
93956,Selena recorded music.,SUPPORTS,"[[[275618, 270725, 'Selena', 8]], [[275618, 270726, 'Selena', 0]], [[275618, 270727, 'Selena', 2]], [[275618, 270728, 'Selena', 4]], [[277400, 272314, 'Selena', 8]], [[277400, 272315, 'Selena', 21]], [[277903, 272835, 'Selena', 0]], [[277903, 272836, 'Selena', 9]], [[277903, 272837, 'Selena', 10]], [[277903, 272838, 'Selena', 11]], [[277903, 272839, 'Selena', 14]], [[277903, 272840, 'Selena', 16]], [[277903, 272841, 'Selena', 18]], [[277903, 272842, 'Selena', 19]], [[277903, 272843, 'Selena', 21]], [[277903, 272844, 'Selena', 32]]]",SUPPORTS,19.813761472702026,"[{""sub"": ""Selena recorded music."", ""label"": ""SUPPORTS"", ""query"": ""Selena music recordings""}]"
138117,John Wick: Chapter 2 was theatrically released in the Oregon.,NOT ENOUGH INFO,"[[[160895, None, None, None]]]",REFUTES,21.312768936157227,"[{""sub"": ""John Wick: Chapter 2 was theatrically released in the Oregon."", ""label"": ""REFUTES"", ""query"": ""Chapter 2 release location""}]"
53133,"Robert J. O'Neill was born April 10, 1976.",SUPPORTS,"[[[69411, 80212, ""Robert_J._O'Neill_-LRB-U.S._Navy_SEAL-RRB-"", 0]]]",NOT ENOUGH INFO,26.430113792419434,"[{""sub"": ""Robert J. O'Neill was born April 10, 1976."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""Robert J. ONeill birthdate""}]"
210010,Afghanistan is the source of the Kushan dynasty.,NOT ENOUGH INFO,"[[[248748, None, None, None]]]",NOT ENOUGH INFO,19.760923147201538,"[{""sub"": ""Afghanistan is the source of the Kushan dynasty."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""Afghanistan Kushan dynasty origin""}]"
134381,Marilyn Monroe worked with Warner Brothers.,NOT ENOUGH INFO,"[[[156940, None, None, None]]]",REFUTES,18.93491220474243,"[{""sub"": ""Marilyn Monroe worked with Warner Brothers."", ""label"": ""REFUTES"", ""query"": ""Marilyn Monroe Warner Brothers""}]"
228271,The Silence of the Lambs was a film starring Scott Glenn.,SUPPORTS,"[[[272337, 268022, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]], [[272346, 268030, 'The_Silence_of_the_Lambs_-LRB-film-RRB-', 0]]]",SUPPORTS,19.065739631652832,"[{""sub"": ""The Silence of the Lambs was a film starring Scott Glenn."", ""label"": ""SUPPORTS"", ""query"": ""Scott Glenn The Silence of the Lambs""}]"
15812,Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,"[[[31205, 37902, 'Peggy_Sue_Got_Married', 0], [31205, 37902, 'Francis_Ford_Coppola', 0]], [[31211, 37908, 'Peggy_Sue_Got_Married', 0]]]",REFUTES,17.58818531036377,"[{""sub"": ""Peggy Sue Got Married is a Egyptian film released in 1986."", ""label"": ""REFUTES"", ""query"": ""Peggy Sue Got Married Egypt release year 1986""}]"
57330,Andy Roddick lost 5 Master Series between 2002 and 2010.,REFUTES,"[[[73660, 84912, 'Andy_Roddick', 7]]]",REFUTES,27.310383319854736,"[{""sub"": ""Andy Roddick lost 5 Master Series between 2002 and 2010."", ""label"": ""REFUTES"", ""query"": ""Andy Roddick Master Series losses 2002-2010""}]"
52432,"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",REFUTES,"[[[68739, 79581, 'Bed-In', 0]]]",REFUTES,24.385980129241943,"[{""sub"": ""As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace."", ""label"": ""REFUTES"", ""query"": ""Yoko Ono John Lennon Bed-In 1969""}]"
214706,Tupac Shakur was born Lesane Parish Crooks.,SUPPORTS,"[[[254927, 254471, 'Tupac_Shakur', 0]], [[254931, 254481, 'Tupac_Shakur', 0]]]",SUPPORTS,18.444264888763428,"[{""sub"": ""Tupac Shakur was born Lesane Parish Crooks."", ""label"": ""SUPPORTS"", ""query"": ""Tupac Shakur birth name""}]"
228761,Harold Ramis was a veteran.,NOT ENOUGH INFO,"[[[272943, None, None, None]]]",NOT ENOUGH INFO,22.29625177383423,"[{""sub"": ""Harold Ramis was a veteran."", ""label"": ""NOT ENOUGH INFO"", ""query"": ""Harold Ramis military service""}]"
172270,"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",SUPPORTS,"[[[198826, 208539, 'The_Jim_Henson_Company', 5]]]",SUPPORTS,21.346047163009644,"[{""sub"": ""The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth."", ""label"": ""SUPPORTS"", ""query"": ""The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.""}]"
85441,United Nations was relocated to the United States in 1945.,NOT ENOUGH INFO,"[[[102619, None, None, None]]]",NOT ENOUGH INFO,13.712282657623291,[]
65960,Whoopi Goldberg co-produced an American dance tournament.,NOT ENOUGH INFO,"[[[82524, None, None, None]]]",REFUTES,19.83360505104065,"[{""sub"": ""Whoopi Goldberg co-produced an American dance tournament."", ""label"": ""REFUTES"", ""query"": ""Whoopi Goldberg American dance tournament producer""}]"
64557,Slovenia uses the euro.,SUPPORTS,"[[[80998, 92847, 'Slovenia', 29], [80998, 92847, 'Eurozone', 0]]]",SUPPORTS,20.899165153503418,"[{""sub"": ""Slovenia uses the euro."", ""label"": ""SUPPORTS"", ""query"": ""Slovenia Euro""}]"
200996,Iowa is a part of the Midwestern United States.,SUPPORTS,"[[[236500, 238958, 'Midwestern_United_States', 4]]]",SUPPORTS,18.974987506866455,"[{""sub"": ""Iowa is a part of the Midwestern United States."", ""label"": ""SUPPORTS"", ""query"": ""Iowa Midwestern United States""}]"
56204,Keith Urban is a person who sings.,NOT ENOUGH INFO,"[[[176603, None, None, None], [178904, None, None, None], [313935, None, None, None]]]",SUPPORTS,18.267226934432983,"[{""sub"": ""Keith Urban is a person who sings."", ""label"": ""SUPPORTS"", ""query"": ""Keith Urban singer""}]"
190922,Hotell is owned by Lisa Langseth.,NOT ENOUGH INFO,"[[[223143, None, None, None]]]",REFUTES,22.953213691711426,"[{""sub"": ""Hotell is owned by Lisa Langseth."", ""label"": ""REFUTES"", ""query"": ""Lisa Langseth Hotell owner""}]"
206132,Saratoga is an American film from 1937.,SUPPORTS,"[[[243729, 244902, 'Saratoga_-LRB-film-RRB-', 0]]]",REFUTES,24.797698736190796,"[{""sub"": ""Saratoga is an American film from 1937."", ""label"": ""REFUTES"", ""query"": ""Saratoga 1937 film""}]"
215831,J. Howard Marshall was a baby.,SUPPORTS,"[[[256426, 255641, 'J._Howard_Marshall', 0], [256426, 255641, 'Infant', 0]]]",REFUTES,20.919326066970825,"[{""sub"": ""J. Howard Marshall was a baby."", ""label"": ""REFUTES"", ""query"": ""J. Howard Marshall birthdate""}]"
180769,Grace Jones is a dancer.,REFUTES,"[[[209812, 217612, 'Grace_Jones', 0]]]",REFUTES,17.82036852836609,"[{""sub"": ""Grace Jones is a dancer."", ""label"": ""REFUTES"", ""query"": ""Grace Jones dancer""}]"
170685,Lisbon has a population larger than 1.,SUPPORTS,"[[[196930, 206999, 'Lisbon', 0]], [[196930, 207000, 'Lisbon', 2]]]",SUPPORTS,17.06391954421997,"[{""sub"": ""Lisbon has a population larger than 1."", ""label"": ""SUPPORTS"", ""query"": ""Lisbon population > 1""}]"
111602,Willie Nelson dropped out of college after three years.,REFUTES,"[[[131008, 145780, 'Willie_Nelson', 9]]]",REFUTES,20.59278678894043,"[{""sub"": ""Willie Nelson dropped out of college after three years."", ""label"": ""REFUTES"", ""query"": ""Willie Nelson college dropout.""}]"
119264,Malcolm Young was the co-founder of Australian hard rock band AC/DC.,SUPPORTS,"[[[140181, 155183, 'Malcolm_Young', 0]]]",SUPPORTS,21.360137224197388,"[{""sub"": ""Malcolm Young was the co-founder of Australian hard rock band AC/DC."", ""label"": ""SUPPORTS"", ""query"": ""Malcolm Young AC/DC co-founder.""}]"
